Income,Home,Emp_length,Intent,Amount,Rate,Percent_income,Cred_length
34800,MORTGAGE,5.0,PERSONAL,3000,9.91,0.09,6
34000,MORTGAGE,0.0,DEBTCONSOLIDATION,10000,12.18,0.29,4
74237,MORTGAGE,4.0,PERSONAL,18000,14.35,0.24,15
56000,RENT,5.0,VENTURE,12000,10.75,0.21,4
75000,MORTGAGE,3.0,PERSONAL,5600,8.0,0.07,2
117000,MORTGAGE,8.0,VENTURE,14000,15.68,0.12,4
76800,MORTGAGE,5.0,PERSONAL,8000,14.96,0.1,3
60000,MORTGAGE,2.0,HOMEIMPROVEMENT,1500,6.03,0.03,9
55000,RENT,0.0,PERSONAL,8500,16.29,0.15,8
12996,RENT,4.0,MEDICAL,1750,6.76,0.13,10
84000,RENT,9.0,EDUCATION,20000,13.92,0.24,2
50000,MORTGAGE,8.0,DEBTCONSOLIDATION,12500,10.65,0.25,4
61000,RENT,1.0,PERSONAL,9000,11.49,0.15,5
79200,MORTGAGE,6.0,EDUCATION,8000,7.88,0.1,4
48000,RENT,5.0,MEDICAL,15000,11.89,0.31,4
74250,RENT,3.0,DEBTCONSOLIDATION,3000,11.99,0.04,4
94000,MORTGAGE,1.0,PERSONAL,13000,6.03,0.14,4
74000,RENT,3.0,VENTURE,10000,18.43,0.14,3
72000,MORTGAGE,2.0,MEDICAL,5000,6.03,0.07,3
52800,RENT,4.0,PERSONAL,2400,9.62,0.05,7
72000,RENT,4.0,MEDICAL,15000,10.99,0.21,4
29000,RENT,10.0,DEBTCONSOLIDATION,9200,7.49,0.32,3
48000,RENT,2.0,PERSONAL,8000,13.11,0.17,4
97750,MORTGAGE,0.0,MEDICAL,24000,17.39,0.21,3
36000,RENT,2.0,PERSONAL,4000,13.61,0.11,3
65000,RENT,5.0,HOMEIMPROVEMENT,9000,6.03,0.14,4
34000,OWN,7.0,VENTURE,10950,7.29,0.32,2
32500,RENT,0.0,VENTURE,2000,17.27,0.06,16
59300,RENT,1.0,MEDICAL,3000,9.63,0.05,3
86000,MORTGAGE,10.0,VENTURE,5000,11.12,0.06,2
65000,RENT,6.0,DEBTCONSOLIDATION,17700,11.49,0.27,2
48996,RENT,0.0,PERSONAL,8000,14.96,0.16,2
32400,MORTGAGE,5.0,PERSONAL,5000,16.0,0.15,2
55000,MORTGAGE,4.0,HOMEIMPROVEMENT,8000,11.14,0.15,9
48000,MORTGAGE,2.0,EDUCATION,10000,9.32,0.21,4
57000,MORTGAGE,9.0,MEDICAL,6500,13.04,0.11,4
61000,MORTGAGE,6.0,EDUCATION,12000,7.49,0.2,2
49000,MORTGAGE,0.0,HOMEIMPROVEMENT,5000,12.18,0.1,3
59000,RENT,5.0,MEDICAL,21500,16.89,0.36,3
62496,MORTGAGE,1.0,HOMEIMPROVEMENT,8000,7.51,0.13,2
41033,MORTGAGE,2.0,DEBTCONSOLIDATION,5700,12.99,0.14,4
60000,RENT,6.0,MEDICAL,7500,14.27,0.13,2
33000,RENT,8.0,DEBTCONSOLIDATION,12000,8.49,0.36,3
39600,RENT,2.0,MEDICAL,8000,9.91,0.2,10
29244,RENT,0.0,DEBTCONSOLIDATION,3000,13.3,0.1,2
28800,RENT,1.0,VENTURE,5000,9.25,0.17,7
117000,MORTGAGE,5.0,HOMEIMPROVEMENT,3600,6.91,0.03,5
175000,MORTGAGE,9.0,HOMEIMPROVEMENT,15000,7.66,0.09,17
13200,RENT,0.0,DEBTCONSOLIDATION,6625,8.63,0.5,3
114000,MORTGAGE,4.0,DEBTCONSOLIDATION,19200,11.36,0.17,17
60000,MORTGAGE,7.0,EDUCATION,10750,7.88,0.18,3
57000,MORTGAGE,10.0,VENTURE,14000,5.42,0.25,4
42000,MORTGAGE,7.0,MEDICAL,7500,11.11,0.18,7
74800,RENT,4.0,MEDICAL,14000,16.45,0.16,2
59600,RENT,2.0,HOMEIMPROVEMENT,5000,5.79,0.08,10
42000,RENT,2.0,EDUCATION,5000,8.49,0.12,10
45000,MORTGAGE,8.0,DEBTCONSOLIDATION,4000,6.62,0.09,4
20640,OWN,0.0,HOMEIMPROVEMENT,6250,14.84,0.3,7
34000,RENT,0.0,EDUCATION,12000,14.61,0.35,8
74000,MORTGAGE,5.0,DEBTCONSOLIDATION,10000,6.62,0.14,2
50500,OWN,6.0,EDUCATION,6000,11.83,0.12,2
70000,MORTGAGE,4.0,VENTURE,13750,10.75,0.2,3
60000,RENT,4.0,PERSONAL,11400,15.23,0.19,4
72000,RENT,2.0,VENTURE,9000,13.47,0.13,3
56000,RENT,4.0,VENTURE,20000,17.39,0.36,3
115000,MORTGAGE,2.0,PERSONAL,18000,10.59,0.16,10
48000,MORTGAGE,8.0,PERSONAL,2250,8.49,0.05,3
49600,MORTGAGE,9.0,MEDICAL,10000,11.66,0.2,4
68000,RENT,1.0,VENTURE,14400,17.99,0.21,2
117000,OWN,10.0,VENTURE,7200,10.74,0.06,4
38000,OWN,1.0,PERSONAL,13750,15.21,0.36,5
102000,MORTGAGE,0.0,HOMEIMPROVEMENT,7200,13.49,0.07,5
44500,RENT,2.0,EDUCATION,7000,8.0,0.16,2
55000,RENT,2.0,EDUCATION,3600,7.51,0.07,7
48000,OWN,3.0,VENTURE,24000,9.91,0.5,9
140000,RENT,0.0,DEBTCONSOLIDATION,7400,6.03,0.05,9
56000,RENT,4.0,MEDICAL,7000,7.29,0.13,8
60000,RENT,0.0,MEDICAL,10000,11.14,0.17,4
105000,MORTGAGE,9.0,HOMEIMPROVEMENT,4800,15.23,0.05,2
60000,MORTGAGE,8.0,MEDICAL,20000,11.71,0.33,5
48000,MORTGAGE,7.0,HOMEIMPROVEMENT,16750,14.26,0.35,3
47000,RENT,7.0,DEBTCONSOLIDATION,12000,16.29,0.26,3
60000,MORTGAGE,2.0,MEDICAL,12500,11.49,0.21,2
154000,MORTGAGE,4.0,PERSONAL,4000,10.37,0.03,8
174462,RENT,9.0,VENTURE,20000,17.04,0.11,16
51850,RENT,2.0,MEDICAL,3600,13.99,0.06,2
35500,RENT,10.0,DEBTCONSOLIDATION,8400,17.27,0.24,4
36900,RENT,5.0,VENTURE,16000,7.9,0.43,2
70000,RENT,2.0,MEDICAL,15000,14.27,0.21,5
71000,MORTGAGE,6.0,DEBTCONSOLIDATION,3200,10.25,0.05,3
60000,MORTGAGE,5.0,HOMEIMPROVEMENT,6500,10.99,0.11,5
50000,RENT,2.0,DEBTCONSOLIDATION,5500,8.32,0.11,16
166000,RENT,4.0,MEDICAL,10000,7.88,0.06,17
65000,MORTGAGE,4.0,HOMEIMPROVEMENT,10000,6.99,0.15,9
68000,RENT,10.0,DEBTCONSOLIDATION,16500,7.88,0.24,7
47500,RENT,8.0,VENTURE,3000,6.76,0.06,2
40000,MORTGAGE,2.0,DEBTCONSOLIDATION,9500,16.77,0.24,10
95800,RENT,1.0,HOMEIMPROVEMENT,5750,9.45,0.06,10
43680,RENT,1.0,EDUCATION,10800,5.42,0.25,4
43000,RENT,4.0,MEDICAL,10000,9.63,0.23,3
76000,RENT,3.0,EDUCATION,10000,15.37,0.13,3
52000,RENT,9.0,VENTURE,10000,8.0,0.19,6
63000,MORTGAGE,7.0,MEDICAL,9700,5.99,0.15,4
60000,RENT,8.0,MEDICAL,7000,6.99,0.12,8
76000,RENT,6.0,HOMEIMPROVEMENT,16000,10.99,0.21,3
160000,MORTGAGE,0.0,VENTURE,17400,7.88,0.11,7
63000,RENT,7.0,EDUCATION,5000,13.23,0.08,4
39996,MORTGAGE,8.0,DEBTCONSOLIDATION,7500,12.22,0.19,4
31000,RENT,0.0,HOMEIMPROVEMENT,9250,16.49,0.3,13
48000,RENT,8.0,PERSONAL,12000,16.77,0.25,3
41000,RENT,9.0,MEDICAL,5000,11.71,0.12,2
28000,MORTGAGE,4.0,HOMEIMPROVEMENT,5225,14.84,0.19,2
79000,RENT,7.0,MEDICAL,10000,7.51,0.13,8
63750,MORTGAGE,2.0,MEDICAL,15000,12.87,0.2,4
105000,RENT,2.0,HOMEIMPROVEMENT,13800,7.66,0.13,3
75000,RENT,3.0,VENTURE,13200,6.17,0.18,4
52000,MORTGAGE,3.0,HOMEIMPROVEMENT,2500,14.59,0.05,4
80000,RENT,6.0,DEBTCONSOLIDATION,10000,9.91,0.13,7
18000,RENT,0.0,EDUCATION,5000,8.59,0.28,4
65000,MORTGAGE,3.0,EDUCATION,6500,5.79,0.1,12
123000,MORTGAGE,7.0,MEDICAL,15000,6.91,0.12,7
113676,MORTGAGE,8.0,EDUCATION,7200,6.99,0.06,2
48000,RENT,0.0,PERSONAL,6800,6.54,0.14,4
154000,MORTGAGE,9.0,DEBTCONSOLIDATION,12000,10.99,0.08,3
100000,MORTGAGE,6.0,PERSONAL,6000,5.42,0.06,19
59000,RENT,5.0,VENTURE,14000,13.8,0.24,14
75000,MORTGAGE,9.0,VENTURE,5000,13.79,0.07,4
47000,RENT,8.0,PERSONAL,3800,13.49,0.08,3
12000,MORTGAGE,5.0,DEBTCONSOLIDATION,3250,15.68,0.27,3
36400,OWN,3.0,PERSONAL,7000,11.11,0.19,9
60000,RENT,0.0,VENTURE,14650,12.61,0.24,3
24000,RENT,4.0,DEBTCONSOLIDATION,5000,10.62,0.21,4
26400,MORTGAGE,5.0,MEDICAL,5975,12.99,0.23,4
69935,MORTGAGE,2.0,MEDICAL,7200,7.49,0.1,3
35000,MORTGAGE,7.0,EDUCATION,2100,5.42,0.06,3
42000,RENT,2.0,VENTURE,7000,6.62,0.17,16
108000,MORTGAGE,2.0,PERSONAL,24500,12.61,0.23,9
19200,RENT,5.0,EDUCATION,5875,14.11,0.31,3
46000,RENT,4.0,MEDICAL,9000,7.51,0.2,5
35000,RENT,0.0,PERSONAL,8000,19.79,0.23,4
60000,OWN,8.0,EDUCATION,20000,7.49,0.33,3
45000,RENT,2.0,PERSONAL,2700,9.91,0.06,6
28608,RENT,2.0,MEDICAL,7000,6.92,0.24,3
42000,RENT,1.0,MEDICAL,11975,12.53,0.29,6
128148,MORTGAGE,2.0,DEBTCONSOLIDATION,15000,5.99,0.12,6
112000,RENT,8.0,HOMEIMPROVEMENT,6400,6.62,0.06,2
70000,RENT,4.0,VENTURE,14400,12.68,0.21,4
44000,RENT,6.0,VENTURE,10000,14.74,0.23,3
60000,RENT,6.0,MEDICAL,6000,13.98,0.1,5
36000,RENT,0.0,EDUCATION,3000,12.29,0.08,2
53000,RENT,0.0,DEBTCONSOLIDATION,5700,9.99,0.11,9
40000,MORTGAGE,7.0,VENTURE,5000,6.62,0.13,4
61000,MORTGAGE,9.0,HOMEIMPROVEMENT,15000,9.88,0.25,9
85000,MORTGAGE,4.0,MEDICAL,7750,11.12,0.09,4
75000,OWN,7.0,EDUCATION,12000,12.49,0.16,4
39000,RENT,3.0,HOMEIMPROVEMENT,2000,7.66,0.05,4
39000,RENT,2.0,DEBTCONSOLIDATION,15000,10.99,0.38,12
33000,RENT,7.0,EDUCATION,4000,6.76,0.12,9
33000,MORTGAGE,6.0,VENTURE,8875,10.65,0.27,4
55000,MORTGAGE,0.0,VENTURE,5000,12.73,0.09,7
137004,MORTGAGE,3.0,VENTURE,10000,5.79,0.07,2
74000,MORTGAGE,1.0,EDUCATION,24000,10.74,0.32,3
61500,RENT,7.0,EDUCATION,6000,5.79,0.1,10
79000,MORTGAGE,0.0,DEBTCONSOLIDATION,9000,6.76,0.11,4
60000,MORTGAGE,10.0,PERSONAL,3600,5.99,0.06,3
80004,RENT,9.0,HOMEIMPROVEMENT,20000,14.26,0.25,4
69000,MORTGAGE,9.0,HOMEIMPROVEMENT,15900,13.22,0.23,3
30000,MORTGAGE,3.0,MEDICAL,6000,13.98,0.2,8
22000,MORTGAGE,5.0,DEBTCONSOLIDATION,1550,7.49,0.07,2
38000,RENT,0.0,VENTURE,12000,11.89,0.32,3
110000,MORTGAGE,7.0,HOMEIMPROVEMENT,10750,11.86,0.1,9
60000,MORTGAGE,1.0,PERSONAL,9900,9.76,0.17,3
90000,MORTGAGE,7.0,MEDICAL,21000,12.42,0.23,2
50000,MORTGAGE,8.0,EDUCATION,7000,8.59,0.14,9
28800,RENT,1.0,VENTURE,1400,7.9,0.05,5
70000,MORTGAGE,7.0,PERSONAL,6000,5.42,0.09,6
45000,RENT,0.0,EDUCATION,4000,13.43,0.09,6
48000,MORTGAGE,5.0,EDUCATION,10800,12.84,0.23,2
101000,MORTGAGE,6.0,PERSONAL,12000,9.63,0.12,7
60000,RENT,0.0,PERSONAL,25000,10.99,0.42,3
55000,RENT,3.0,EDUCATION,6000,10.99,0.11,3
45000,RENT,2.0,MEDICAL,8500,10.62,0.19,6
28800,MORTGAGE,2.0,EDUCATION,2000,10.59,0.07,8
60380,MORTGAGE,10.0,PERSONAL,6000,11.48,0.1,10
85500,MORTGAGE,8.0,EDUCATION,20675,10.0,0.24,2
42000,RENT,9.0,VENTURE,11500,13.79,0.27,3
43000,RENT,1.0,MEDICAL,6000,11.14,0.14,7
38400,RENT,4.0,VENTURE,4000,7.29,0.1,3
63000,MORTGAGE,6.0,VENTURE,8400,7.29,0.13,4
35000,RENT,4.0,EDUCATION,1800,10.59,0.05,3
80748,MORTGAGE,5.0,MEDICAL,5000,7.51,0.06,9
30000,RENT,3.0,MEDICAL,3600,14.11,0.12,9
105000,RENT,7.0,MEDICAL,7200,11.71,0.07,2
40000,RENT,0.0,MEDICAL,12800,8.9,0.32,2
54000,RENT,1.0,DEBTCONSOLIDATION,5000,6.54,0.09,3
24000,RENT,0.0,EDUCATION,5000,14.42,0.21,27
60000,MORTGAGE,4.0,DEBTCONSOLIDATION,8000,7.88,0.13,5
37200,RENT,2.0,EDUCATION,10000,6.92,0.27,3
45000,RENT,8.0,MEDICAL,4000,11.83,0.09,2
52000,MORTGAGE,7.0,EDUCATION,8400,8.9,0.16,2
34152,RENT,5.0,MEDICAL,5000,13.79,0.15,10
75000,RENT,3.0,PERSONAL,23575,14.5,0.31,4
70550,RENT,2.0,MEDICAL,16000,17.49,0.19,8
30252,MORTGAGE,9.0,PERSONAL,10000,9.76,0.33,3
24000,RENT,5.0,MEDICAL,16750,14.96,0.7,10
55000,MORTGAGE,5.0,PERSONAL,12000,7.49,0.22,6
37000,RENT,0.0,EDUCATION,3000,6.39,0.08,3
40320,RENT,4.0,MEDICAL,8700,12.61,0.22,5
75500,RENT,0.0,EDUCATION,19200,16.77,0.25,7
30000,RENT,7.0,PERSONAL,5000,14.17,0.17,3
22560,RENT,3.0,PERSONAL,4200,15.2,0.19,4
42000,RENT,6.0,PERSONAL,18000,14.65,0.43,7
62400,MORTGAGE,7.0,DEBTCONSOLIDATION,20000,12.53,0.32,6
86400,RENT,7.0,PERSONAL,16875,7.51,0.2,14
51000,RENT,2.0,PERSONAL,8000,5.79,0.16,26
62000,MORTGAGE,9.0,EDUCATION,4800,8.0,0.08,12
148000,RENT,2.0,EDUCATION,22200,19.42,0.15,8
80000,RENT,2.0,PERSONAL,12375,10.91,0.15,4
100000,MORTGAGE,9.0,EDUCATION,8000,10.25,0.08,3
54996,MORTGAGE,7.0,EDUCATION,2100,11.49,0.04,3
154000,MORTGAGE,4.0,PERSONAL,12225,7.49,0.08,4
40000,OWN,2.0,VENTURE,5000,10.0,0.13,5
29664,MORTGAGE,5.0,DEBTCONSOLIDATION,5000,13.57,0.17,4
50000,RENT,0.0,EDUCATION,5275,12.53,0.11,6
96000,MORTGAGE,8.0,HOMEIMPROVEMENT,17000,10.62,0.18,10
24000,RENT,1.0,MEDICAL,5000,6.92,0.21,10
33000,RENT,6.0,PERSONAL,3000,10.95,0.09,4
32000,RENT,4.0,MEDICAL,9000,11.48,0.28,8
34000,MORTGAGE,3.0,MEDICAL,4000,17.58,0.12,3
125000,RENT,4.0,EDUCATION,3250,7.49,0.03,16
21600,RENT,2.0,MEDICAL,8000,10.59,0.37,5
41000,MORTGAGE,6.0,DEBTCONSOLIDATION,7000,7.9,0.17,4
82000,MORTGAGE,2.0,EDUCATION,6000,7.51,0.07,10
69000,RENT,2.0,PERSONAL,14000,6.03,0.2,10
71000,MORTGAGE,10.0,DEBTCONSOLIDATION,6000,15.62,0.08,4
84000,OWN,7.0,EDUCATION,17500,8.9,0.21,3
65000,MORTGAGE,9.0,HOMEIMPROVEMENT,5500,5.79,0.08,3
88000,RENT,4.0,DEBTCONSOLIDATION,20000,10.38,0.23,7
54400,RENT,2.0,MEDICAL,3000,19.42,0.05,2
44000,RENT,1.0,DEBTCONSOLIDATION,4000,17.58,0.09,2
62165,RENT,2.0,MEDICAL,10800,15.65,0.15,4
150000,RENT,9.0,PERSONAL,15000,16.32,0.1,9
30000,RENT,4.0,DEBTCONSOLIDATION,10000,14.42,0.33,9
155004,MORTGAGE,9.0,HOMEIMPROVEMENT,10500,7.49,0.07,2
40000,RENT,8.0,MEDICAL,12000,10.37,0.3,9
40000,RENT,3.0,DEBTCONSOLIDATION,3600,15.96,0.09,4
24600,RENT,8.0,EDUCATION,9000,10.65,0.37,14
61200,MORTGAGE,6.0,MEDICAL,16000,16.45,0.22,4
40000,MORTGAGE,9.0,PERSONAL,5000,6.99,0.13,7
81804,MORTGAGE,4.0,DEBTCONSOLIDATION,9000,8.0,0.11,8
42000,RENT,0.0,EDUCATION,12000,11.11,0.29,9
85000,MORTGAGE,1.0,PERSONAL,4400,7.4,0.05,3
77000,MORTGAGE,3.0,PERSONAL,5000,7.14,0.06,7
68500,MORTGAGE,4.0,PERSONAL,14300,15.31,0.21,17
81960,RENT,6.0,PERSONAL,9600,7.29,0.12,2
54252,MORTGAGE,6.0,DEBTCONSOLIDATION,3500,6.39,0.06,2
60000,MORTGAGE,8.0,EDUCATION,2000,7.29,0.03,7
37080,RENT,6.0,PERSONAL,2400,10.65,0.06,3
25000,RENT,2.0,MEDICAL,9000,11.48,0.36,2
19000,OWN,3.0,VENTURE,4000,7.4,0.21,4
135000,MORTGAGE,9.0,VENTURE,10000,7.14,0.07,6
23000,RENT,6.0,MEDICAL,4850,14.27,0.21,3
17676,OWN,1.0,EDUCATION,2500,14.74,0.14,10
42000,RENT,2.0,MEDICAL,3000,6.62,0.07,3
23004,RENT,6.0,EDUCATION,3000,17.8,0.13,10
96000,RENT,1.0,PERSONAL,5000,11.99,0.05,9
36500,RENT,1.0,PERSONAL,14400,15.05,0.39,4
34320,RENT,1.0,DEBTCONSOLIDATION,3000,14.11,0.09,5
63000,MORTGAGE,0.0,MEDICAL,15000,13.47,0.24,4
45000,RENT,1.0,VENTURE,6000,11.71,0.13,2
25200,RENT,0.0,DEBTCONSOLIDATION,6000,14.59,0.24,12
85000,MORTGAGE,2.0,EDUCATION,25000,12.84,0.29,8
69575,RENT,3.0,MEDICAL,14000,9.63,0.2,3
21600,OWN,1.0,EDUCATION,3500,13.61,0.16,13
60000,RENT,0.0,PERSONAL,15600,12.69,0.26,4
120000,OWN,8.0,EDUCATION,5275,5.42,0.04,4
75000,MORTGAGE,1.0,VENTURE,10000,6.62,0.13,17
63000,MORTGAGE,2.0,PERSONAL,10000,10.59,0.16,2
37440,RENT,8.0,VENTURE,7000,9.91,0.19,8
74000,MORTGAGE,5.0,HOMEIMPROVEMENT,10000,6.62,0.14,4
100000,RENT,0.0,VENTURE,15000,11.58,0.15,10
108000,RENT,8.0,EDUCATION,5000,12.69,0.05,4
66000,RENT,7.0,VENTURE,5000,10.39,0.08,3
36000,RENT,2.0,DEBTCONSOLIDATION,12000,14.09,0.33,10
58800,RENT,10.0,MEDICAL,3000,11.49,0.05,9
60000,RENT,1.0,HOMEIMPROVEMENT,6000,14.79,0.1,9
44000,RENT,3.0,MEDICAL,5000,14.91,0.11,2
27996,RENT,0.0,PERSONAL,12250,11.26,0.44,7
52000,MORTGAGE,7.0,PERSONAL,5000,11.48,0.1,2
16800,RENT,7.0,EDUCATION,6625,6.03,0.39,3
28000,OWN,6.0,HOMEIMPROVEMENT,10000,10.37,0.36,2
32758,RENT,0.0,DEBTCONSOLIDATION,8400,14.96,0.26,5
134000,MORTGAGE,9.0,DEBTCONSOLIDATION,6000,5.99,0.04,8
31000,RENT,4.0,VENTURE,3600,12.69,0.12,3
45000,RENT,8.0,MEDICAL,3000,7.49,0.07,4
64000,RENT,8.0,HOMEIMPROVEMENT,8000,7.9,0.13,2
50000,RENT,1.0,EDUCATION,15000,10.28,0.3,5
30000,RENT,5.0,DEBTCONSOLIDATION,15000,12.84,0.5,3
58704,RENT,5.0,DEBTCONSOLIDATION,23500,14.72,0.4,7
62004,RENT,1.0,VENTURE,10000,12.84,0.16,5
65000,RENT,5.0,PERSONAL,15000,6.17,0.23,2
100000,MORTGAGE,7.0,EDUCATION,5000,14.26,0.05,15
55000,MORTGAGE,7.0,PERSONAL,6625,16.77,0.12,3
26400,RENT,3.0,VENTURE,2500,13.23,0.09,10
65000,RENT,6.0,PERSONAL,9600,12.99,0.15,4
28008,RENT,5.0,MEDICAL,4000,10.0,0.14,2
73000,RENT,5.0,HOMEIMPROVEMENT,5800,10.37,0.08,6
26400,MORTGAGE,2.0,VENTURE,4400,11.49,0.17,3
107004,MORTGAGE,6.0,VENTURE,4200,11.71,0.04,8
150000,MORTGAGE,2.0,PERSONAL,20000,12.99,0.13,14
31200,RENT,4.0,MEDICAL,4200,8.9,0.13,3
75000,MORTGAGE,7.0,VENTURE,17000,11.12,0.23,2
138000,MORTGAGE,3.0,EDUCATION,23975,17.93,0.17,7
38568,RENT,7.0,PERSONAL,2400,18.39,0.06,12
50000,MORTGAGE,4.0,EDUCATION,2325,6.99,0.05,17
36000,MORTGAGE,5.0,MEDICAL,4000,15.23,0.11,3
57000,MORTGAGE,5.0,PERSONAL,13000,8.9,0.23,2
20400,RENT,3.0,MEDICAL,6000,15.27,0.29,13
86875,MORTGAGE,5.0,VENTURE,8000,10.59,0.09,10
39000,RENT,8.0,PERSONAL,7000,14.42,0.18,4
85000,MORTGAGE,1.0,DEBTCONSOLIDATION,4400,7.4,0.05,2
45760,RENT,8.0,DEBTCONSOLIDATION,11500,11.78,0.25,4
30000,MORTGAGE,1.0,PERSONAL,5500,10.99,0.18,3
70000,RENT,5.0,HOMEIMPROVEMENT,6800,5.42,0.1,2
69000,RENT,0.0,HOMEIMPROVEMENT,20000,14.82,0.29,4
32647,RENT,7.0,VENTURE,10000,11.48,0.31,3
25200,RENT,7.0,MEDICAL,7500,14.96,0.3,3
60000,RENT,2.0,DEBTCONSOLIDATION,5000,6.91,0.08,3
100000,MORTGAGE,5.0,PERSONAL,14000,10.75,0.14,3
62475,MORTGAGE,5.0,MEDICAL,9600,14.61,0.13,6
18000,RENT,0.0,VENTURE,3500,13.48,0.19,2
34000,MORTGAGE,5.0,EDUCATION,6000,6.76,0.18,2
53913,MORTGAGE,6.0,VENTURE,11500,5.99,0.21,4
58000,MORTGAGE,5.0,MEDICAL,31300,11.71,0.54,3
110000,RENT,2.0,HOMEIMPROVEMENT,12000,7.88,0.11,2
100000,MORTGAGE,4.0,MEDICAL,15000,13.49,0.15,4
27000,RENT,6.0,MEDICAL,10000,10.65,0.37,3
45000,RENT,2.0,VENTURE,6000,11.86,0.13,3
50000,RENT,5.0,EDUCATION,4900,8.94,0.1,2
55000,RENT,3.0,DEBTCONSOLIDATION,12000,13.16,0.22,8
23000,MORTGAGE,6.0,DEBTCONSOLIDATION,3000,13.35,0.13,3
104550,MORTGAGE,5.0,MEDICAL,24000,15.21,0.2,4
34000,RENT,2.0,VENTURE,5000,5.79,0.15,12
25000,OWN,1.0,PERSONAL,11100,9.63,0.44,3
42000,RENT,3.0,DEBTCONSOLIDATION,12000,13.57,0.29,7
29996,MORTGAGE,3.0,EDUCATION,5400,12.84,0.18,4
40000,MORTGAGE,7.0,PERSONAL,4000,10.99,0.1,4
20000,OWN,1.0,VENTURE,5000,14.72,0.25,3
31200,RENT,5.0,PERSONAL,10000,12.73,0.32,4
72000,RENT,3.0,VENTURE,24000,14.96,0.33,10
60000,RENT,4.0,MEDICAL,16000,16.07,0.27,8
47000,RENT,6.0,MEDICAL,3500,9.99,0.07,3
80000,MORTGAGE,7.0,EDUCATION,17000,12.21,0.21,2
27000,RENT,3.0,VENTURE,8000,8.9,0.3,4
116000,RENT,1.0,VENTURE,8000,15.27,0.07,11
138000,MORTGAGE,7.0,PERSONAL,2700,11.86,0.02,2
80000,RENT,0.0,MEDICAL,25000,11.86,0.31,8
44000,MORTGAGE,3.0,DEBTCONSOLIDATION,24000,8.88,0.55,9
55000,RENT,3.0,EDUCATION,19200,15.21,0.35,4
40000,RENT,4.0,MEDICAL,14000,15.58,0.35,3
